,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,24.0,63.0,28.0,1028.0,128.0,301.0,0.425,49.0,134.0,0.366,65.0,73.0,0.89,17.0,94.0,111.0,121.0,47.0,8.0,44.0,93.0,370.0
2,25.0,74.0,26.0,1686.0,209.0,503.0,0.41600000000000004,61.0,187.0,0.326,140.0,188.0,0.745,31.0,140.0,171.0,342.0,63.0,8.0,89.0,132.0,619.0
93,32.0,46.0,32.0,1250.0,141.0,345.0,0.409,33.0,112.0,0.295,29.0,45.0,0.644,20.0,114.0,134.0,93.0,37.0,7.0,45.0,77.0,344.0
94,33.0,76.0,72.0,2278.0,244.0,612.0,0.39899999999999997,99.0,267.0,0.371,85.0,110.0,0.773,33.0,174.0,207.0,226.0,51.0,25.0,85.0,143.0,672.0
133,24.0,52.0,43.0,1525.0,286.0,666.0,0.429,43.0,134.0,0.321,84.0,114.0,0.737,24.0,197.0,221.0,310.0,104.0,27.0,150.0,174.0,699.0
134,25.0,46.0,44.0,1389.0,215.0,506.0,0.425,34.0,96.0,0.354,55.0,69.0,0.797,19.0,168.0,187.0,277.0,68.0,21.0,104.0,166.0,519.0
135,26.0,51.0,32.0,1269.0,152.0,342.0,0.444,29.0,112.0,0.259,40.0,54.0,0.741,23.0,163.0,186.0,173.0,101.0,17.0,68.0,158.0,373.0
193,27.0,62.0,55.0,1927.0,307.0,738.0,0.41600000000000004,122.0,351.0,0.348,110.0,152.0,0.7240000000000001,58.0,236.0,294.0,114.0,46.0,31.0,79.0,193.0,846.0
194,28.0,78.0,75.0,2471.0,418.0,975.0,0.429,139.0,406.0,0.342,110.0,142.0,0.775,96.0,379.0,475.0,134.0,58.0,29.0,110.0,231.0,1085.0
195,30.0,71.0,33.0,2197.0,433.0,939.0,0.461,110.0,326.0,0.337,141.0,194.0,0.727,103.0,357.0,460.0,141.0,51.0,30.0,114.0,172.0,1117.0
196,31.0,74.0,71.0,2346.0,281.0,631.0,0.445,88.0,246.0,0.358,88.0,114.0,0.772,102.0,296.0,398.0,159.0,43.0,39.0,92.0,156.0,738.0
197,32.0,36.0,32.0,951.0,91.0,207.0,0.44,46.0,118.0,0.39,13.0,18.0,0.722,44.0,124.0,168.0,72.0,22.0,18.0,39.0,94.0,241.0
199,32.0,51.0,33.0,1176.0,114.0,273.0,0.418,59.0,158.0,0.373,18.0,25.0,0.72,48.0,167.0,215.0,82.0,25.0,21.0,46.0,123.0,305.0
244,31.0,51.0,30.0,960.0,49.0,172.0,0.285,41.0,145.0,0.28300000000000003,9.0,16.0,0.563,7.0,94.0,101.0,41.0,19.0,4.0,19.0,59.0,148.0
245,32.0,56.0,31.0,1158.0,98.0,262.0,0.374,76.0,209.0,0.364,12.0,23.0,0.522,18.0,104.0,122.0,52.0,29.0,6.0,23.0,69.0,284.0
252,22.0,82.0,82.0,3167.0,553.0,1288.0,0.429,185.0,503.0,0.368,271.0,321.0,0.8440000000000001,42.0,215.0,257.0,531.0,74.0,19.0,243.0,172.0,1562.0
253,23.0,82.0,82.0,2937.0,553.0,1304.0,0.424,218.0,554.0,0.39399999999999996,371.0,426.0,0.871,35.0,253.0,288.0,457.0,64.0,22.0,193.0,197.0,1695.0
254,24.0,82.0,82.0,2925.0,590.0,1360.0,0.434,196.0,572.0,0.34299999999999997,344.0,398.0,0.8640000000000001,49.0,329.0,378.0,507.0,97.0,21.0,222.0,164.0,1720.0
255,25.0,75.0,75.0,2676.0,618.0,1474.0,0.419,229.0,610.0,0.375,414.0,464.0,0.892,45.0,257.0,302.0,512.0,65.0,28.0,242.0,165.0,1879.0
256,26.0,75.0,75.0,2693.0,661.0,1488.0,0.444,214.0,579.0,0.37,488.0,545.0,0.895,46.0,322.0,368.0,440.0,68.0,20.0,197.0,152.0,2024.0
